Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
9/2/2025,AXSM,AXSM,S,CBOE,47
9/2/2025,AXSM,AXSM,S,EDGX,1
9/3/2025,AXSM,AXSM,S,BATS,7
9/3/2025,AXSM,AXSM,S,CBOE,15
9/3/2025,AXSM,AXSM,S,EDGX,9
9/4/2025,AXSM,AXSM,S,BATS,13
9/4/2025,AXSM,AXSM,S,C2,3
9/4/2025,AXSM,AXSM,S,CBOE,27
9/4/2025,AXSM,AXSM,S,EDGX,2
9/5/2025,AXSM,AXSM,S,BATS,13
9/5/2025,AXSM,AXSM,S,C2,5
9/5/2025,AXSM,AXSM,S,CBOE,5
9/5/2025,AXSM,AXSM,S,EDGX,2
9/8/2025,AXSM,AXSM,S,BATS,64
9/8/2025,AXSM,AXSM,S,C2,15
9/8/2025,AXSM,AXSM,S,CBOE,56
9/8/2025,AXSM,AXSM,S,EDGX,46
9/9/2025,AXSM,AXSM,S,C2,6
9/9/2025,AXSM,AXSM,S,CBOE,8
9/9/2025,AXSM,AXSM,S,EDGX,11
9/10/2025,AXSM,AXSM,S,BATS,1
9/10/2025,AXSM,AXSM,S,C2,2
9/10/2025,AXSM,AXSM,S,CBOE,5
9/10/2025,AXSM,AXSM,S,EDGX,3
9/11/2025,AXSM,AXSM,S,BATS,4
9/11/2025,AXSM,AXSM,S,C2,14
9/11/2025,AXSM,AXSM,S,CBOE,7
9/11/2025,AXSM,AXSM,S,EDGX,3
9/12/2025,AXSM,AXSM,S,BATS,3
9/12/2025,AXSM,AXSM,S,C2,10
9/12/2025,AXSM,AXSM,S,CBOE,61
9/12/2025,AXSM,AXSM,S,EDGX,15
9/15/2025,AXSM,AXSM,S,BATS,2
9/15/2025,AXSM,AXSM,S,C2,12
9/15/2025,AXSM,AXSM,S,CBOE,7
9/15/2025,AXSM,AXSM,S,EDGX,4
9/16/2025,AXSM,AXSM,S,BATS,19
9/16/2025,AXSM,AXSM,S,C2,4
9/16/2025,AXSM,AXSM,S,CBOE,175
9/16/2025,AXSM,AXSM,S,EDGX,12
9/17/2025,AXSM,AXSM,S,BATS,54
9/17/2025,AXSM,AXSM,S,C2,1
9/17/2025,AXSM,AXSM,S,CBOE,26
9/17/2025,AXSM,AXSM,S,EDGX,8
9/18/2025,AXSM,AXSM,S,C2,1
9/18/2025,AXSM,AXSM,S,CBOE,67
9/18/2025,AXSM,AXSM,S,EDGX,4
9/19/2025,AXSM,AXSM,S,BATS,41
9/19/2025,AXSM,AXSM,S,C2,4
9/19/2025,AXSM,AXSM,S,CBOE,91
9/19/2025,AXSM,AXSM,S,EDGX,10
9/22/2025,AXSM,AXSM,S,BATS,10
9/22/2025,AXSM,AXSM,S,C2,12
9/22/2025,AXSM,AXSM,S,CBOE,10
9/22/2025,AXSM,AXSM,S,EDGX,13
9/23/2025,AXSM,AXSM,S,BATS,7
9/23/2025,AXSM,AXSM,S,C2,36
9/23/2025,AXSM,AXSM,S,CBOE,13
9/23/2025,AXSM,AXSM,S,EDGX,6
9/24/2025,AXSM,AXSM,S,BATS,47
9/24/2025,AXSM,AXSM,S,C2,1
9/24/2025,AXSM,AXSM,S,CBOE,22
9/24/2025,AXSM,AXSM,S,EDGX,22
9/25/2025,AXSM,AXSM,S,BATS,31
9/25/2025,AXSM,AXSM,S,C2,14
9/25/2025,AXSM,AXSM,S,CBOE,1065
9/25/2025,AXSM,AXSM,S,EDGX,620
9/26/2025,AXSM,AXSM,S,BATS,7
9/26/2025,AXSM,AXSM,S,C2,3
9/26/2025,AXSM,AXSM,S,CBOE,1567
9/26/2025,AXSM,AXSM,S,EDGX,70
9/29/2025,AXSM,AXSM,S,BATS,56
9/29/2025,AXSM,AXSM,S,CBOE,201
9/29/2025,AXSM,AXSM,S,EDGX,61
9/30/2025,AXSM,AXSM,S,BATS,8
9/30/2025,AXSM,AXSM,S,C2,2
9/30/2025,AXSM,AXSM,S,CBOE,1208
9/30/2025,AXSM,AXSM,S,EDGX,31
10/1/2025,AXSM,AXSM,S,BATS,9
10/1/2025,AXSM,AXSM,S,C2,11
10/1/2025,AXSM,AXSM,S,CBOE,333
10/1/2025,AXSM,AXSM,S,EDGX,7
10/2/2025,AXSM,AXSM,S,BATS,27
10/2/2025,AXSM,AXSM,S,C2,5
10/2/2025,AXSM,AXSM,S,CBOE,122
10/2/2025,AXSM,AXSM,S,EDGX,42
10/3/2025,AXSM,AXSM,S,BATS,35
10/3/2025,AXSM,AXSM,S,C2,5
10/3/2025,AXSM,AXSM,S,CBOE,322
10/3/2025,AXSM,AXSM,S,EDGX,20
10/6/2025,AXSM,AXSM,S,BATS,10
